"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"T","1/ANM:T","[01.017:T]","SET","2","","ANM","Agency Names","M","","","","0","1","","","Set_T","","","","","","","","","","","","","","","","","Agency names of identifiers listed in fields 1.007 and 1.008.","","","","","","","","","","",""
"TX","1/ANM/DAN","[01.017-A]","A","","","DAN","Destination Agency Name","M^","ANS","1","*","1","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Name of the administration or organization designated to receive the transmission","","<nc:OrganizationName>BKA</nc:OrganizationName>","nc:OrganizationName","http://niem.gov/niem/niem-core/2.0","nc:TextType","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionDestinationOrganization/nc:OrganizationName","","","","",""
"TX","1/ANM/OAN","[01.017-B]","B","","","OAN","Originating Agency Name","M^","ANS","1","*","1","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Name of the administration or organization originating the transmission","","<nc:OrganizationName>FAED</nc:OrganizationName>","nc:OrganizationName","http://niem.gov/niem/niem-core/2.0","nc:TextType","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionOriginatingOrganization/nc:OrganizationName","","","","",""
"X","1/ANM/DAC","[01.017-C]","C","","","DAC","Destination Agency Country Code","M^","A","3","3","1","1","","","Data_X","","","","","","","","","","","","","","","","","ISO 3166-1 Alpha-3 Country code of the administration or organization designated to receive the transmission","","<int-i:LocationCountryISO3166Alpha3Code>DEU</int-i:LocationCountryISO3166Alpha3Code>","int-i:LocationCountryISO3166Alpha3Code","http://interpol.int/int-i/1.0","int-i:ISO3166Alpha3CodeType","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionDestinationOrganization/int-i:LocationCountryISO3166Alpha3Code","The country code is defined in ISO 3166-1 Alpha-3, extended with INTERPOL specific codes  (see \ref{subsec:int-i:ISO3166Alpha3CodeType}).","","","",""
"X","1/ANM/OAC","[01.017-D]","D","","","OAC","Originating Agency Country Code","M^","A","3","3","1","1","","","Data_X","","","","","","","","","","","","","","","","","ISO 3166-1 Alpha-3 Country code of the administration or organization originating the transmission","","<int-i:LocationCountryISO3166Alpha3Code>FRA</int-i:LocationCountryISO3166Alpha3Code>","int-i:LocationCountryISO3166Alpha3Code","http://interpol.int/int-i/1.0","int-i:ISO3166Alpha3CodeType","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionOriginatingOrganization/int-i:LocationCountryISO3166Alpha3Code","The country code is defined in ISO 3166-1 Alpha-3, extended with INTERPOL specific codes  (see \ref{subsec:int-i:ISO3166Alpha3CodeType}).","","","",""
"X","1/GNS","[01.018]","","","","GNS","Geographical Name Set","O","A","3","4","0","0","","","Data_X","","","","","","","","","","","","","","","","Y","This optional field is used if the transaction uses GENC in lieu of ISO 3166-1
as a code set for country code specifications.","This field is not to used in INTERPOL’s implementation, as only ISO 3166-1 is supported. It should not be present.","","biom:TransactionGeographicNameSetCode","http://niem.gov/niem/biometrics/1.0","biom:TransactionGeographicNameSetCodeType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionGeographicNameSetCode","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X","2","[02]","","","","","Package Descriptive Text Record (XML)","O","","","","0","*","","","Set_X","","","","","","","","","","","","","","","","","Textual information relating to the subject of the transaction.","","","itl:PackageDescriptiveTextRecord","http://biometrics.nist.gov/standard/2011","itl:PackageDescriptiveTextRecordType","itl:PackageDescriptiveTextRecord","Even though the ANSI-NIST standard and the xsd would allow multiple Type 2 records to be packed in a single XML file, INTERPOL’s implementation only allow one Type 2. ","","","",""
"T","2/LEN:T","[02.001:T]","","","","LEN","Record Header","M","N","1","*","1","1","","","Data_T","","","","","","","","","","","","","","","","","Record length in bytes.","","","","","","","","","","",""
"X","2/XRCC:X","[02.001:X]","","","","XRCC","XML Record Category Code","M","N","1","2","1","1","","","Data_X","","","{2}","","","","","","","","","","","","","","Numeric representation of Record Type that the associated block of XML elements represent within the overall transaction, for example 1 for Type-1 Record Type, 14 for Type-14 Record Type. The Record Types are defined within the ANSI-NIST standard.","","<biom:RecordCategoryCode>2</biom:RecordCategoryCode>","biom:RecordCategoryCode","http://niem.gov/niem/biometrics/1.0","biom:RecordCategoryCodeType","itl:PackageDescriptiveTextRecord/biom:RecordCategoryCode","","","","","<biom:RecordCategoryCode>02</biom:RecordCategoryCode>"
"TX","2/IDC","[02.002]","","","","IDC","Information Designation Character","M","N","1","2","1","1","","","Data","","","{0..99}","","","","","","","","","","","","","","IDC assigned  in 1.003-D to this Type-2 record.","","<biom:ImageReferenceIdentification><nc:IdentificationID>0</nc:IdentificationID></biom:ImageReferenceIdentification>","biom:ImageReferenceIdentification","http://niem.gov/niem/biometrics/1.0","niem-xsd:String","itl:PackageDescriptiveTextRecord/biom:ImageReferenceIdentification/nc:IdentificationID","","","","",""
"TX","2/UDF","[02.003_02.999]","","","","UDF","User-Defined Fields","M","","","","1","1","","","Set","","","","","","","","","","","","","","","","","A set of user-defined descriptive information about the transaction.","","","itl:UserDefinedDescriptiveDetail","http://biometrics.nist.gov/standard/2011","itl:UserDefinedDescriptiveDetailType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail","","","","",""
"X","2/UDF:X1","[02.003_02.999:X1]","SET","7","","","Domain-Defined Fields","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","INTERPOL’s Domain descriptive information about the transaction.","","","int-i:DomainDefinedDescriptiveDetail","http://interpol.int/int-i/1.0","int-i:DomainDefinedDescriptiveDetailType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail","","","","",""
"X","2/UDF:X1/RAC","[02.003_02.999:X1-A]","A","","","","Record Activity Fields","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Record Activity groups all the elements related to where and when the record was created.","","","int-i:RecordActivity","http://interpol.int/int-i/1.0","int-i:RecordActivityType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail/int-i:RecordActivity","","","","",""
"X","2/UDF:X1/RSU","[02.003_02.999:X1-B]","B","","","","Record Subject Fields","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Record Subject groups all the alpha-numeric elements related to the person or latent.","","","int-i:RecordSubject","http://interpol.int/int-i/1.0","int-i:RecordSubjectType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail/int-i:RecordSubject","","","","",""
"X","2/UDF:X1/ROF","[02.003_02.999:X1-C]","C","","","","Record Offence Fields","D","","","","0","1","","","Set_X","","","","","","","","","","[1/TOT]=”CPS”
[1/TOT]=“MPS”
[1/TOT]=“ATP”","","","","","","","Record Offence groups all the elements related to the reason for the criminal application.","","","int-i:RecordOffence","http://interpol.int/int-i/1.0","int-i:RecordOffenceType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail/int-i:RecordOffence","","","","",""
"X","2/UDF:X1/RCI","[02.003_02.999:X1-D]","D","","","","Record Civil Fields","D","","","","0","1","","","Set_X","","","","","","","","","","[1/TOT]=“NPS”","","","","","","","Record Civil  groups all the elements related to the reason for the non-criminal application.","","","int-i:RecordCivil","http://interpol.int/int-i/1.0","int-i:RecordCivilType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail/int-i:RecordCivil","","","","",""
"X","2/UDF:X1/RME","[02.003_02.999:X1-E]","E","","","","Record Metadata Fields","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","Record Metadata groups additionals elements, in particular all the identifiers of the records.","","","int-i:RecordMetadata","http://interpol.int/int-i/1.0","int-i:RecordMetadataType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail/int-i:RecordMetadata","","","","",""
"X","2/UDF:X1/TRD","[02.003_02.999:X1-F]","F","","","","Transaction Response  Data Fields","D","","","","0","1","","","Set_X","","","","","","","","","[1/TOT]=”SRE”","","","","","","","","Transaction Response Data groups all the elements related to a response: error, respondents, …","","","int-i:TransactionResponseData","http://interpol.int/int-i/1.0","int-i:TransactionResponseDataType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail/int-i:TransactionResponseData","","","","",""
"X","2/UDF:X1/TMD","[02.003_02.999:X1-G]","G","","","","Transaction Metadata Fields","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Transaction Meta  Data groups all the elements related to the processing of the transaction.","","","int-i:TransactionMetadata","http://interpol.int/int-i/1.0","int-i:TransactionMetadataType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:DomainDefinedDescriptiveDetail/int-i:TransactionMetadata","","","","",""
"X","2/UDF:X2","[02.003_02.999:X2]","","","","","Custom Defined Fields","O","","","","0","*","","","Set_X","","","","","","","","","","","","","","","","Y","Custom Defined Domain  is a placeholder where the implementer can put any custom field (not part of the INTERPOL implementation). ","Anything in this placeholder won’t be validated against the xsd.","","int-i:CustomDefinedDescriptiveDetail","http://interpol.int/int-i/1.0","int-i:CustomDefinedDescriptiveDetailType","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/int-i:CustomDefinedDescriptiveDetail","","","","",""
"X","2/DAR","[02.004]","","","","DAR","Date of Record","O","ANS","10","20","0","1","[-:]","","Data","","","","\d{4}-\d{2}-\d{2}(T\d{2}:\d{2}:\d{2}(Z){0,1}){0,1}","","","","","","","","","","","","","Date (and Time), in ISO 8601 format, on which the  record was first created.","","<int-i:RecordCreationDate>
                         <nc:Date>2017-07-11</nc:Date>
</int-i:RecordCreationDate>
or
<int-i:RecordCreationDate>
                         <nc:DateTime>2017-07-11T00:00:01Z</nc:DateTime>
</int-i:RecordLastUpdateDate>","int-i:RecordCreationDate","http://interpol.int/int-i/1.0","niem-xsd:dateTime
niem-xsd:date","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/itl:DomainDefinedDescriptiveDetail/int-i:RecordMetadata/int-i:RecordCreationDate/nc:DateTime
or
itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/itl:DomainDefinedDescriptiveDetail/int-i:RecordMetadata/int-i:RecordCreationDate/nc:Date","This date is the date when the record (the electonic file) was created by the system, be it a livescan or an AFIS, independantly from the date when the fingerprints were actually captured.","","","",""
"X","2/DLU","[02.005]","","","","DLU","Date of Last Update","O","ANS","10","20","0","1","[-:]","","Data","","","","\d{4}-\d{2}-\d{2}(T\d{2}:\d{2}:\d{2}(Z){0,1}){0,1}","","","","","","","","","","","","","Date (and Time), in ISO 8601 format, on which the record was last updated. ","","<int-i:RecordLastUpdateDate>
                         <nc:Date>2017-07-11</nc:Date>
</int-i:RecordLastUpdateDate>
or
<int-i:RecordLastUpdateDate>
                         <nc:DateTime>2017-07-11T00:00:01</nc:DateTime>
</int-i:RecordLastUpdateDate>","int-i:RecordLastUpdateDate","http://interpol.int/int-i/1.0","niem-xsd:dateTime
niem-xsd:date","itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/itl:DomainDefinedDescriptiveDetail/int-i:RecordMetadata/int-i:RecordLastUpdateDate/nc:DateTime
or
itl:PackageDescriptiveTextRecord/itl:UserDefinedDescriptiveDetail/itl:DomainDefinedDescriptiveDetail/int-i:RecordMetadata/int-i:RecordLastUpdateDate/nc:Date","This date is the date when the record (the electronic file) was last updated by the system. This can be used in particular to explicite when a composite record was last recalculated in a multi-incident AFIS.","","","",""
